"country_code","year","eurostat_production","fao_production","eumofa_production","eurostat_value","fao_value","eumofa_value","ratio_es_fao","ratio_es_eumo","logdiff_es_fao","logdiff_es_eumo","flag_large_gap_fao","flag_large_gap_eumo","notes"
"FI",2019,NA,2760,NA,NA,11803595,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FI",2020,NA,3230,NA,NA,13191162,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FI",2021,NA,2972,NA,NA,13921984,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FI",2022,NA,3301,NA,NA,19474255,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FI",2023,NA,3547,NA,NA,22031108,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FR",2018,NA,38769,3798,NA,151172219,13748000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FR",2019,NA,41194,3655,NA,163739128,16006249,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FR",2020,NA,41086,3340,NA,163570915,14969932,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FR",2021,NA,38459,3187,NA,167315357,15421741,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FR",2022,NA,37354,3446,NA,129039089,16381183,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"FR",2023,NA,34380,5679,NA,183804407,28573140,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"GB",2018,NA,9506,NA,NA,41723018,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"GB",2019,NA,9826,NA,NA,46930877,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"GB",2020,NA,9148,NA,NA,46584211,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"GB",2021,NA,9455,NA,NA,51304167,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"GB",2022,NA,8663,NA,NA,48028715,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"GB",2023,NA,8663,NA,NA,47106916,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
